Epoch,Quantum_Loss_PennyLane,Classical_Loss_PennyLane
0,1.458900662234703,1.4447905890358659
1,1.4562701806143759,1.4432967448016
2,1.4536990121276143,1.4418328032958878
3,1.4511859906784697,1.4403982809743665
4,1.4487299646303968,1.4389926979582328
5,1.446329797040187,1.4376155781539126
6,1.4439843658680698,1.4362664493675563
7,1.4416925641646718,1.4349448434143361
8,1.4394533002355907,1.4336502962225364
9,1.4372654977842916,1.432382347932436
10,1.4351280960340997,1.431140542989996
11,1.4330400498300455,1.4299244302353675
12,1.4310003297212863,1.4287335629862543
13,1.4290079220249319,1.4275674991161607
14,1.4270618288719918,1.426425801127572
15,1.4251610682362181,1.4253080362201243
16,1.423304673946606,1.424213776353816
17,1.421491695684304,1.4231425983073327
18,1.419721198964666,1.422094083731557
19,1.417992265105193,1.4210678191983412
20,1.41630399118007,1.420063396244628
21,1.4146554899620156,1.4190804114120072
22,1.4130458898521525,1.4181184662818023
23,1.4114743347985432,1.4171771675057865
24,1.4099399842040958,1.416256126832626
25,1.4084420128244604,1.4153549611301584
26,1.4069796106565615,1.4144732924036139
27,1.405551982818371,1.4136107478098858
28,1.4041583494205174,1.4127669596679708
29,1.4027979454303219,1.4119415654656806
30,1.4014700205287858,1.4111342078627565
31,1.4001738389611145,1.4103445346904904
32,1.3989086793812489,1.4095721989479755
33,1.397673834690941,1.4088168587951093
34,1.3964686118738334,1.4080781775424578
35,1.3952923318250168,1.4073558236381096
36,1.3941443291764997,1.4066494706516297
37,1.3930239521190173,1.4059587972552396
38,1.3919305622205966,1.4052834872023325
39,1.390863534242238,1.4046232293034475
40,1.3898222559511142,1.4039777173998107
41,1.3888061279316184,1.4033466503345644
42,1.387814563394607,1.402729731921792
43,1.3868469879851486,1.4021266709134514
44,1.3859028395890738,1.4015371809643251
45,1.3849815681386406,1.4009609805950949
46,1.3840826354175544,1.4003977931536482
47,1.3832055148656028,1.3998473467747141
48,1.3823496913831725,1.399309374337937
49,1.3815146611358329,1.39878361342448
50,1.3806999313592483,1.3982698062722592
51,1.3799050201645557,1.3977676997299002
52,1.3791294563444745,1.397277045209509
53,1.3783727791802372,1.3967975986383467
54,1.3776345382495845,1.396329120409495
55,1.3769142932359117,1.3958713753315948
56,1.3762116137387517,1.395424132577737
57,1.3755260790856965,1.3949871656335944
58,1.374857278145901,1.394560252244856
59,1.3742048091452628,1.3941431743640496
60,1.37356827948338,1.3937357180968168
61,1.3729473055524033,1.3933376736477119
62,1.3723415125578429,1.3929488352655883
63,1.3717505343414065,1.3925690011886387
64,1.3711740132059664,1.3921979735891448
65,1.3706115997426798,1.3918355585180024
66,1.3700629526603687,1.3914815658490687
67,1.3695277386171356,1.391135809223395
68,1.3690056320543476,1.3907981059933856
69,1.3684963150329512,1.3904682771669403
70,1.3679994770721928,1.390146147351623
71,1.367514814990764,1.3898315446989016
72,1.3670420327503758,1.3895243008484992
73,1.3665808413018223,1.389224250872901
74,1.3661309584334886,1.38893123322205
75,1.3656921086223766,1.3886450896682727
76,1.365264022887599,1.3883656652514613
77,1.3648464386463872,1.3880928082245532
78,1.3644390995725886,1.3878263699993312
79,1.3640417554576492,1.3875662050925759
80,1.3636541620740985,1.3873121710725957
81,1.3632760810414997,1.3870641285061622
82,1.3629072796948671,1.386821940905868
83,1.3625475309555395,1.3865854746779362
84,1.3621966132044905,1.3863545990704982
85,1.3618543101580602,1.386129186122356
86,1.3615204107460768,1.385909110612251
87,1.361194708992371,1.3856942500086546
88,1.3608770038976372,1.3854844844200909
89,1.3605670993246335,1.3852796965460104
90,1.3602648038856835,1.385079771628224
91,1.3599699308324675,1.3848845974029076
92,1.3596822979480576,1.384694064053192
93,1.3594017274411938,1.3845080641623384
94,1.3591280458427422,1.384326492667518
95,1.358861083904332,1.3841492468141925
96,1.3586006764991247,1.3839762261111097
97,1.3583466625246936,1.383807332285913
98,1.3580988848079758,1.3836424692413734
99,1.357857190012275,1.3834815430122451
100,1.357621428546264,1.3833244617227485
101,1.3573914544749852,1.383171135544682
102,1.357167125432785,1.3830214766561628
103,1.3569483025381666,1.3828753992010017
104,1.3567348503105325,1.3827328192487047
105,1.3565266365887672,1.3825936547551092
106,1.3563235324516474,1.3824578255236464
107,1.3561254121400328,1.382325253167231
108,1.355932152980805,1.3821958610707799
109,1.3557436353125407,1.3820695743543503
110,1.355559742412854,1.3819463198368982
111,1.3553803604274193,1.3818260260006565
112,1.3552053783005902,1.381708622956121
113,1.3550346877076405,1.3815940424076496
114,1.3548681829885416,1.3814822176196626
115,1.354705761083291,1.3813730833834437
116,1.354547321468729,1.3812665759845353
117,1.3543927660968322,1.3811626331707223
118,1.354241999334438,1.3810611941206004
119,1.3540949279043903,1.3809621994127212
120,1.3539514608280603,1.38086559099531
121,1.3538115093692193,1.380771312156548
122,1.3536749869792408,1.3806793074954142
123,1.3535418092435816,1.3805895228930831
124,1.3534118938295618,1.380501905484862
125,1.353285160435349,1.3804164036326756
126,1.3531615307401839,1.3803329668980764
127,1.3530409283557823,1.3802515460157858
128,1.3529232787788945,1.3801720928677526
129,1.3528085093450077,1.3800945604577186
130,1.3526965491831617,1.380018902886298
131,1.3525873291718344,1.3799450753265439
132,1.3524807818959093,1.3798730340000116
133,1.3523768416046615,1.3798027361533023
134,1.3522754441707778,1.379734140035081
135,1.3521765270503479,1.3796672048735665
136,1.3520800292438377,1.3796018908544767
137,1.3519858912580078,1.3795381590994316
138,1.3518940550687448,1.3794759716448006
139,1.3518044640848155,1.3794152914209903
140,1.351717063112486,1.379356082232161
141,1.3516317983210127,1.3792983087363715
142,1.3515486172089721,1.3792419364261364
143,1.3514674685714128,1.3791869316093983
144,1.351388302467813,1.3791332613909
145,1.3513110701908135,1.3790808936539527
146,1.3512357242357371,1.3790297970425942
147,1.3511622182708236,1.3789799409441277
148,1.3510905071082278,1.3789312954720367
149,1.3510205466757057,1.3788838314492664
150,1.3509522939890104,1.37883752039187
151,1.3508857071249598,1.3787923344930033
152,1.3508207451951688,1.378748246607275
153,1.3507573683204357,1.3787052302354321
154,1.350695537605744,1.378663259509385
155,1.3506352151158945,1.3786223091775556
156,1.3505763638517356,1.3785823545905542
157,1.350518947726977,1.378543371687167
158,1.3504629315455796,1.3785053369806564
159,1.3504082809796996,1.3784682275453641
160,1.3503549625481854,1.3784320210036107
161,1.350302943595596,1.3783966955128892
162,1.3502521922717539,1.3783622297533435
163,1.3502026775117857,1.3783286029155257
164,1.3501543690166713,1.3782957946884302
165,1.3501072372342708,1.378263785247796
166,1.3500612533408138,1.37823255524467
167,1.350016389222864,1.378202085794233
